2025-11-09 22:01:50 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:01:56 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:02:12 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:04:24 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:06:56 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:07:04 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:16:56 | IP: ::1 | User: admin | SUCCESS
2025-11-09 22:18:21 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-09 22:18:29 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:19:40 | IP: ::1 | User: admin | SUCCESS
2025-11-09 22:19:54 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:22:00 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:25:25 | IP: ::1 | User: security | LOGOUT
2025-11-09 22:26:42 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:36:26 | IP: ::1 | User: security | LOGOUT
2025-11-09 22:36:53 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:41:04 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:43:46 | IP: ::1 | User: security | SUCCESS
2025-11-09 22:46:29 | IP: ::1 | User: security | LOGOUT
2025-11-09 22:46:38 | IP: ::1 | User: admin | SUCCESS
2025-11-11 15:14:13 | IP: ::1 | User: admin | SUCCESS
2025-11-11 16:38:51 | IP: ::1 | User: admin | SUCCESS
2025-11-11 16:39:00 | IP: ::1 | User: admin | LOGOUT
2025-11-11 16:39:06 | IP: ::1 | User: security | SUCCESS
2025-11-11 16:39:38 | IP: ::1 | User: security | LOGOUT
2025-11-11 16:39:43 | IP: ::1 | User: admin | FAILED: Invalid credentials
2025-11-11 16:39:47 | IP: ::1 | User: admin | SUCCESS
2025-11-12 14:01:01 | IP: ::1 | User: admin | SUCCESS
2025-11-12 14:02:32 | IP: ::1 | User: admin | LOGOUT
2025-11-12 14:02:41 | IP: ::1 | User: security | SUCCESS
2025-11-12 14:17:49 | IP: ::1 | User: security | LOGOUT
2025-11-12 14:17:59 | IP: ::1 | User: admin | SUCCESS
2025-11-13 16:54:59 | IP: ::1 | User: admin | SUCCESS
2025-11-14 00:33:37 | IP: ::1 | User: admin | SUCCESS
2025-11-14 00:33:49 | IP: ::1 | User: admin | LOGOUT
2025-11-14 00:33:57 | IP: ::1 | User: security | SUCCESS
2025-11-14 00:35:09 | IP: ::1 | User: security | LOGOUT
2025-11-14 00:35:13 | IP: ::1 | User: admin | SUCCESS
2025-11-14 01:05:05 | IP: ::1 | User: admin | SUCCESS
2025-11-14 04:28:03 | IP: ::1 | User: admin | LOGOUT
2025-11-14 04:28:11 | IP: ::1 | User: security | SUCCESS
2025-11-14 18:34:21 | IP: ::1 | User: admin | SUCCESS
